artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
lasgo,something,220973,FALSE,2001,65,65.94871795,98.1981982,7,-6.644,0,7.621527778,3.034714446,8.93E-05,12.89566237,39.05447071,140.01,pop,3.682883333
iio,rapture (feat.nadia ali),253586,FALSE,2006,54,67.79487179,85.58558559,8,-8.403,1,6.545138889,8.085106383,0.0185,23.32942556,61.76772867,123.943,Dance/Electronic,4.226433333
emma bunton,what took you so long?,241000,FALSE,2001,54,68.51282051,77.27727728,9,-5.4,0,5.329861111,13.77379619,0,39.97655334,93.62795478,118.011,pop,4.016666667
112,it's over now,264933,FALSE,2001,57,67.69230769,71.07107107,1,-4.541,1,7.100694444,1.187010078,7.01E-06,8.628370457,23.94655704,97.988,hip hop,4.41555
blue,all rise,223546,FALSE,2001,63,73.94871795,73.77377377,5,-2.734,0,5.625,13.54983203,0,19.34349355,95.68345324,97.996,pop,3.725766667
jessica simpson,irresistible,194026,FALSE,2001,43,67.38461538,96.5965966,8,-2.771,0,9.652777778,3.191489362,8.84E-05,6.471277843,68.75642343,93.013,pop,3.233766667
crazy town,butterfly,216733,FALSE,1999,71,75.48717949,81.18118118,9,-4.17,0,14.0625,0.147816349,0.000142,12.54396249,62.58992806,103.502,rock,3.612216667
michael jackson,you rock my world,337733,FALSE,2001,64,87.58974359,67.36736737,4,-3.132,0,32.11805556,4.255319149,0.000227,29.89449004,98.15005139,95,pop,5.628883333
eve,let me blow ya mind,230133,TRUE,2001,73,93.12820513,55.75575576,8,-4.243,0,18.57638889,27.09966405,0,8.311840563,92.18910586,90.032,hip hop,3.83555
jennifer lopez,ain't it funny,246160,FALSE,2001,0,72.51282051,86.98698699,5,-4.525,0,8.350694444,11.64613662,0.000121,9.531066823,63.82322713,99.825,hip hop,4.102666667
brandy,another day in paradise - r&b-version,271626,FALSE,2002,50,71.79487179,78.77877878,6,-5.176,0,5.677083333,0.745800672,3.68E-05,8.487690504,57.14285714,102.043,hip hop,4.5271
nickelback,how you remind me,223840,FALSE,2001,78,45.74358974,76.47647648,10,-5.042,1,5.729166667,0.151175812,0,11.60609613,55.80678314,172.094,rock,3.730666667
daft punk,one more time,320357,FALSE,2001,76,62.87179487,69.76976977,2,-8.618,1,23.09027778,2.172452408,0,38.92145369,48.92086331,122.746,hip hop,5.339283333
